,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Touros,BR,2022-02-11 23:43:05,-5.1989,-35.4608,83.3,77,75,11.92
1,Albany,US,2022-02-11 23:56:30,42.6001,-73.9662,50.58,55,89,10.09
2,Danane,CI,2022-02-11 23:56:31,7.2596,-8.155,68.72,27,48,2.59
3,Riyadh,SA,2022-02-11 23:56:31,24.6877,46.7219,57.34,46,3,11.68
4,Castro,BR,2022-02-11 23:56:32,-24.7911,-50.0119,65.57,78,59,8.3
5,Huilong,CN,2022-02-11 23:52:22,31.8111,121.655,47.03,78,99,8.5
6,Karpogory,RU,2022-02-11 23:56:32,64.0019,44.4451,20.55,96,98,5.53
7,The Valley,AI,2022-02-11 23:56:32,18.217,-63.0578,77.14,69,20,14.97
8,Broken Hill,AU,2022-02-11 23:55:57,-31.95,141.4333,69.51,40,0,14.97
9,Rikitea,PF,2022-02-11 23:56:33,-23.1203,-134.9692,79.32,73,1,16.62
10,Luderitz,NA,2022-02-11 23:56:33,-26.6481,15.1594,75.97,64,94,11.03
11,Kodiak,US,2022-02-11 23:56:33,57.79,-152.4072,38.71,93,100,5.75
12,Atuona,PF,2022-02-11 23:56:34,-9.8,-139.0333,77.92,75,3,11.95
13,Hobart,AU,2022-02-11 23:56:34,-42.8794,147.3294,66.22,61,75,4.61
14,Tarapur,IN,2022-02-11 23:56:34,19.85,72.7,69.8,44,10,6.46
15,Thompson,CA,2022-02-11 23:56:35,55.7435,-97.8558,-14.64,58,20,6.91
16,Sabha,LY,2022-02-11 23:56:35,27.0377,14.4283,50.2,32,0,8.21
17,Punta Arenas,CL,2022-02-11 23:56:35,-53.15,-70.9167,55.51,71,75,32.21
18,Geraldton,AU,2022-02-11 23:56:36,-28.7667,114.6,75.61,78,75,5.75
19,Praya,CV,2022-02-11 23:56:36,14.9215,-23.5087,77.54,44,58,17.27
20,Arraial Do Cabo,BR,2022-02-11 23:55:17,-22.9661,-42.0278,73.36,85,100,2.3
21,Hilo,US,2022-02-11 23:56:37,19.7297,-155.09,78.8,75,18,3.0
22,Hollola,FI,2022-02-11 23:56:37,61.05,25.4333,18.01,90,8,9.06
23,Ulladulla,AU,2022-02-11 23:56:37,-35.35,150.4667,70.7,77,96,10.04
24,Clyde River,CA,2022-02-11 23:48:25,70.4692,-68.5914,-16.37,76,100,32.21
25,Busselton,AU,2022-02-11 23:53:21,-33.65,115.3333,68.86,75,16,7.45
26,Chuy,UY,2022-02-11 23:52:25,-33.6971,-53.4616,72.57,86,46,14.63
27,Mataura,NZ,2022-02-11 23:56:38,-46.1927,168.8643,58.48,54,90,9.98
28,Mahebourg,MU,2022-02-11 23:56:38,-20.4081,57.7,75.25,94,20,5.75
29,Ushuaia,AR,2022-02-11 23:56:39,-54.8,-68.3,51.46,82,100,10.36
30,Alta Floresta,BR,2022-02-11 23:56:39,-9.8756,-56.0861,72.3,96,98,1.39
31,Butaritari,KI,2022-02-11 23:56:39,3.0707,172.7902,81.86,78,80,16.11
32,Marsh Harbour,BS,2022-02-11 23:56:40,26.5412,-77.0636,74.39,76,74,13.27
33,Ribeira Grande,PT,2022-02-11 23:56:40,38.5167,-28.7,60.19,74,88,10.54
34,Port Elizabeth,ZA,2022-02-11 23:56:40,-33.918,25.5701,66.18,83,0,3.24
35,Antofagasta,CL,2022-02-11 23:52:28,-23.65,-70.4,69.08,77,4,6.15
36,San,ML,2022-02-11 23:56:41,13.3034,-4.8956,71.69,14,3,9.51
37,Chikwawa,MW,2022-02-11 23:56:41,-16.0335,34.8009,72.77,89,77,1.19
38,Bredasdorp,ZA,2022-02-11 23:56:42,-34.5322,20.0403,69.12,73,15,3.44
39,Narsaq,GL,2022-02-11 23:47:16,60.9167,-46.05,23.22,78,100,6.38
40,Coquimbo,CL,2022-02-11 23:49:50,-29.9533,-71.3436,69.53,64,0,11.5
41,Agadez,NE,2022-02-11 23:56:42,19.75,10.25,56.79,27,0,4.7
42,Kloulklubed,PW,2022-02-11 23:51:22,7.0419,134.2556,82.71,75,40,18.7
43,Jamestown,US,2022-02-11 23:56:42,42.097,-79.2353,45.09,51,100,11.01
44,Louny,CZ,2022-02-11 23:57:43,50.357,13.7967,38.64,81,89,6.17
45,Antalaha,MG,2022-02-11 23:57:43,-14.9003,50.2788,72.37,90,6,5.28
46,Asau,RO,2022-02-11 23:57:44,46.4333,26.4,36.39,90,61,6.15
47,Vaini,TO,2022-02-11 23:57:44,-21.2,-175.2,86.16,84,20,8.05
48,Chiang Klang,TH,2022-02-11 23:57:44,19.2938,100.8617,67.33,93,21,0.94
49,Champerico,GT,2022-02-11 23:51:00,14.3,-91.9167,91.94,63,2,9.22
50,Hermanus,ZA,2022-02-11 23:57:45,-34.4187,19.2345,64.9,89,1,7.7
51,Peleduy,RU,2022-02-11 23:57:45,59.6289,112.7406,-10.46,98,100,3.09
52,Qaanaaq,GL,2022-02-11 23:57:45,77.484,-69.3632,-23.06,55,0,7.63
53,Ilulissat,GL,2022-02-11 23:53:33,69.2167,-51.1,24.8,88,100,6.76
54,Palmer,US,2022-02-11 23:57:46,42.1584,-72.3287,47.14,46,42,5.99
55,Bluff,NZ,2022-02-11 23:57:46,-46.6,168.3333,58.8,66,55,19.22
56,Port Alfred,ZA,2022-02-11 23:57:47,-33.5906,26.891,70.81,87,3,4.72
57,New Norfolk,AU,2022-02-11 23:57:47,-42.7826,147.0587,65.88,46,19,3.0
58,Henties Bay,NA,2022-02-11 23:48:40,-22.116,14.2845,69.85,87,38,8.7
59,Nanfeng,CN,2022-02-11 23:57:47,23.7434,111.7959,51.22,90,100,3.02
60,Constitucion,CL,2022-02-11 23:57:48,-35.3333,-72.4167,59.45,68,0,11.05
61,Kapaa,US,2022-02-11 23:57:48,22.0752,-159.319,82.11,74,0,1.99
62,Pangnirtung,CA,2022-02-11 23:52:25,66.1451,-65.7125,5.0,47,100,6.91
63,Leningradskiy,RU,2022-02-11 23:57:48,69.3833,178.4167,-18.8,96,97,4.38
64,Freeport,US,2022-02-11 23:50:36,40.6576,-73.5832,51.96,72,0,20.71
65,Sao Felix Do Xingu,BR,2022-02-11 23:57:49,-6.6447,-51.995,72.48,97,64,1.34
