City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2020-09-15 02:41:45,59.7,30.79,48.99,87,0,6.71
1,Hermanus,ZA,2020-09-15 02:41:46,-34.42,19.23,41.0,94,43,6.49
2,Mogadishu,SO,2020-09-15 02:41:46,2.04,45.34,77.14,87,22,14.2
3,Qaanaaq,GL,2020-09-15 02:41:46,77.48,-69.36,26.49,90,76,6.76
4,Castro,BR,2020-09-15 02:41:46,-24.79,-50.01,59.85,91,91,11.54
5,Vaini,TO,2020-09-15 02:41:47,-21.2,-175.2,77.0,69,40,9.17
6,Severo-Kurilsk,RU,2020-09-15 02:36:51,50.68,156.12,53.49,68,2,14.9
7,Rikitea,PF,2020-09-15 02:41:47,-23.12,-134.97,74.03,83,46,11.61
8,Ramhormoz,IR,2020-09-15 02:41:48,31.28,49.6,84.2,26,0,4.7
9,Carutapera,BR,2020-09-15 02:41:48,-1.2,-46.02,75.63,91,20,5.28
10,Punta Arenas,CL,2020-09-15 02:36:56,-53.15,-70.92,35.6,93,39,20.8
11,Busselton,AU,2020-09-15 02:41:49,-33.65,115.33,71.01,44,0,11.23
12,Pagudpud,PH,2020-09-15 02:41:49,18.56,120.79,91.4,63,75,4.7
13,Dikson,RU,2020-09-15 02:41:49,73.51,80.55,43.79,87,100,14.14
14,Sao Joao Da Barra,BR,2020-09-15 02:41:50,-21.64,-41.05,71.49,82,0,15.01
15,Honningsvag,NO,2020-09-15 02:41:50,70.98,25.97,47.55,80,94,9.69
16,Luderitz,NA,2020-09-15 02:41:50,-26.65,15.16,52.61,78,0,15.3
17,Bad Durkheim,DE,2020-09-15 02:41:50,49.47,8.17,61.0,84,72,0.85
18,Saldanha,ZA,2020-09-15 02:41:51,-33.01,17.94,42.8,81,0,4.7
19,Ushuaia,AR,2020-09-15 02:41:01,-54.8,-68.3,35.6,93,75,20.8
20,San Andres,CO,2020-09-15 02:41:51,12.58,-81.7,82.4,88,75,4.7
21,Mar Del Plata,AR,2020-09-15 02:37:38,-38.0,-57.56,48.0,87,0,4.7
22,Namatanai,PG,2020-09-15 02:41:52,-3.67,152.43,84.25,73,83,9.31
23,Nanortalik,GL,2020-09-15 02:41:52,60.14,-45.24,41.94,77,100,37.11
24,Gat,IL,2020-09-15 02:41:53,31.61,34.76,78.01,100,7,1.01
25,Barkhan,PK,2020-09-15 02:41:53,29.9,69.53,82.8,38,71,7.52
26,Tasiilaq,GL,2020-09-15 02:41:53,65.61,-37.64,22.84,96,32,3.85
27,Kapaa,US,2020-09-15 02:37:27,22.08,-159.32,86.0,58,75,9.17
28,Tuatapere,NZ,2020-09-15 02:41:54,-46.13,167.68,42.01,88,100,8.99
29,Kavieng,PG,2020-09-15 02:41:54,-2.57,150.8,84.09,76,82,12.75
30,Lebu,CL,2020-09-15 02:41:54,-37.62,-73.65,50.47,90,11,18.57
31,Norman Wells,CA,2020-09-15 02:41:55,65.28,-126.83,46.4,61,75,11.41
32,Zhuhai,CN,2020-09-15 02:41:55,22.28,113.57,82.4,88,40,10.29
33,Sobolevo,RU,2020-09-15 02:41:55,54.43,31.9,57.76,95,95,10.69
34,Vardo,NO,2020-09-15 02:41:56,70.37,31.11,47.37,83,100,15.55
35,Karratha,AU,2020-09-15 02:39:13,-20.74,116.85,96.48,14,56,19.46
36,Arlit,NE,2020-09-15 02:41:56,18.74,7.39,92.5,14,0,3.98
37,Hilo,US,2020-09-15 02:40:48,19.73,-155.09,82.4,61,90,8.05
38,Quatre Cocos,MU,2020-09-15 02:41:57,-20.21,57.76,68.0,68,75,13.87
39,Dubti,ET,2020-09-15 02:41:57,11.74,41.09,87.76,44,8,3.44
40,Jamestown,US,2020-09-15 02:41:57,42.1,-79.24,48.2,76,1,4.7
41,Carnarvon,AU,2020-09-15 02:41:40,-24.87,113.63,73.4,83,2,11.41
42,Georgetown,MY,2020-09-15 02:41:58,5.41,100.34,78.8,88,20,2.24
